,,Compound,,,,,,,,,,,Accesories,,,,,,,,,,,,,,,,,,
Date and Set #,Weight,Squat,Shoulder Press,Deadlift,Rack Pull,Bench,Incline Bench,close grip bench,Barbell Row,front squat,Dumbell Flys,Dumbbell Incline Press,Regular/Preacher Curl,hammer curl,Wall/Standing Curl,Forearm Curl,Pullups,Chinups,Dips,Angled Situps,Angled Weighted Situps,Sitting Row,dumbbell lateral raises,cable lateral raise,climbing,"single leg squat (Smith, each side)",lat pulldown,tricep pushdown,Shoulder Shrugs,leg press,rack pulls
3/2/2022,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,95x20,,95x20,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,135x15,,115x10,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,185x7,,135x7,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,225x5,,145x2,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,225x5,,95x15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2022,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95x20,45x20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,135x10,55x15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,185x5,65x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,195x5,75x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,205x3,85x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,135x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2022,140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,95x0,,95x15,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,135x20,,115x7,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,185x10,,135x2,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,225x7,,145x0,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,245x2,,145x0,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,95x15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/2022,140.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95x0,45x20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,135x15,55x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,185x7,65x8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
